Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
2/3/15,cycling,cycling,2015-02-03T11:31:34-05:00,2015-02-03T11:45:37-05:00,843,2.487,0,0
2/3/15,walking,walking,2015-02-03T11:45:37-05:00,2015-02-03T11:46:35-05:00,58,0.019,60,0
2/3/15,walking,walking,2015-02-03T12:03:24-05:00,2015-02-03T12:03:43-05:00,19,0.007,23,0
2/3/15,cycling,cycling,2015-02-03T12:17:29-05:00,2015-02-03T12:29:22-05:00,713,2.404,0,0
2/3/15,walking,walking,2015-02-03T12:29:23-05:00,2015-02-03T12:30:44-05:00,81,0.029,92,0
2/3/15,walking,walking,2015-02-03T14:28:45-05:00,2015-02-03T14:29:11-05:00,26,0.009,30,0
2/3/15,walking,walking,2015-02-03T16:33:30-05:00,2015-02-03T16:43:47-05:00,617,0.201,648,0
2/3/15,transport,transport,2015-02-03T16:43:46-05:00,2015-02-03T19:29:56-05:00,9970,1.476,0,0
2/3/15,cycling,cycling,2015-02-03T19:29:55-05:00,2015-02-03T19:42:58-05:00,783,0.047,0,0
2/3/15,transport,transport,2015-02-03T19:42:58-05:00,2015-02-03T20:31:38-05:00,2920,0.510,0,0
2/3/15,walking,walking,2015-02-03T21:51:40-05:00,2015-02-03T21:52:10-05:00,30,0.009,31,0
2/3/15,walking,walking,2015-02-03T22:05:57-05:00,2015-02-03T22:09:01-05:00,184,0.086,139,0
2/3/15,walking,walking,2015-02-03T23:02:48-05:00,2015-02-03T23:03:18-05:00,30,0.009,30,0
2/3/15,transport,transport,2015-02-03T23:06:24-05:00,2015-02-03T23:16:30-05:00,606,0.308,0,0
2/4/15,running,running,2015-02-04T05:12:21-05:00,2015-02-04T05:17:01-05:00,280,0.428,714,0
2/4/15,walking,walking,2015-02-04T07:16:28-05:00,2015-02-04T07:18:58-05:00,150,0.083,177,0
2/4/15,walking,walking,2015-02-04T08:00:16-05:00,2015-02-04T08:02:49-05:00,153,0.090,194,0
2/4/15,cycling,cycling,2015-02-04T08:13:14-05:00,2015-02-04T08:22:04-05:00,530,2.148,0,0
2/4/15,walking,walking,2015-02-04T08:23:50-05:00,2015-02-04T08:29:15-05:00,325,0.261,560,0
2/4/15,walking,walking,2015-02-04T09:51:15-05:00,2015-02-04T09:51:45-05:00,30,0.019,61,0
2/4/15,walking,walking,2015-02-04T11:00:22-05:00,2015-02-04T11:03:51-05:00,209,0.143,307,0
2/4/15,cycling,cycling,2015-02-04T11:46:23-05:00,2015-02-04T11:59:03-05:00,760,2.258,0,0
2/4/15,walking,walking,2015-02-04T11:59:27-05:00,2015-02-04T11:59:57-05:00,30,0.019,61,0
2/4/15,walking,walking,2015-02-04T12:00:26-05:00,2015-02-04T12:02:56-05:00,150,0.089,192,0
2/4/15,walking,walking,2015-02-04T15:21:57-05:00,2015-02-04T15:23:35-05:00,98,0.030,81,0
2/4/15,walking,walking,2015-02-04T16:54:24-05:00,2015-02-04T16:54:54-05:00,30,0.019,60,0
2/4/15,walking,walking,2015-02-04T17:31:31-05:00,2015-02-04T17:32:01-05:00,30,0.009,30,0
2/4/15,walking,walking,2015-02-04T20:20:52-05:00,2015-02-04T20:21:52-05:00,60,0.019,55,0
2/4/15,walking,walking,2015-02-04T21:11:41-05:00,2015-02-04T21:13:11-05:00,90,0.039,126,0
2/4/15,walking,walking,2015-02-04T22:26:51-05:00,2015-02-04T22:29:21-05:00,150,0.073,156,0
2/5/15,running,running,2015-02-05T07:11:49-05:00,2015-02-05T07:16:44-05:00,295,0.423,537,0
2/5/15,walking,walking,2015-02-05T07:29:46-05:00,2015-02-05T07:33:46-05:00,240,0.112,193,0
2/5/15,walking,walking,2015-02-05T08:02:52-05:00,2015-02-05T08:03:52-05:00,60,0.019,51,0
2/5/15,cycling,cycling,2015-02-05T12:15:53-05:00,2015-02-05T12:26:40-05:00,647,2.497,0,0
2/5/15,walking,walking,2015-02-05T12:27:40-05:00,2015-02-05T12:31:28-05:00,228,0.184,395,0
2/5/15,transport,transport,2015-02-05T12:57:47-05:00,2015-02-05T12:58:54-05:00,67,0.263,0,0
2/5/15,walking,walking,2015-02-05T12:59:24-05:00,2015-02-05T13:03:26-05:00,242,0.154,350,0
2/5/15,cycling,cycling,2015-02-05T13:36:39-05:00,2015-02-05T13:41:32-05:00,293,0.726,0,0
2/5/15,walking,walking,2015-02-05T13:41:32-05:00,2015-02-05T13:45:56-05:00,264,0.175,235,0
2/5/15,walking,walking,2015-02-05T13:54:04-05:00,2015-02-05T13:54:34-05:00,30,0.016,50,0
2/5/15,walking,walking,2015-02-05T14:58:12-05:00,2015-02-05T15:01:13-05:00,181,0.097,256,0
2/5/15,cycling,cycling,2015-02-05T15:04:14-05:00,2015-02-05T15:07:00-05:00,166,0.611,0,0
2/5/15,walking,walking,2015-02-05T15:07:13-05:00,2015-02-05T15:09:13-05:00,120,0.090,193,0
2/5/15,walking,walking,2015-02-05T15:53:12-05:00,2015-02-05T15:55:40-05:00,148,0.062,200,0
2/5/15,transport,transport,2015-02-05T15:55:40-05:00,2015-02-05T16:01:08-05:00,328,0.282,0,0
2/5/15,cycling,cycling,2015-02-05T16:01:08-05:00,2015-02-05T16:03:21-05:00,133,0.395,0,0
2/5/15,walking,walking,2015-02-05T16:05:08-05:00,2015-02-05T16:07:46-05:00,158,0.125,268,0
2/5/15,walking,walking,2015-02-05T17:57:49-05:00,2015-02-05T17:58:49-05:00,60,0.022,71,0
2/5/15,walking,walking,2015-02-05T18:01:15-05:00,2015-02-05T18:02:15-05:00,60,0.029,91,0
2/5/15,walking,walking,2015-02-05T19:06:09-05:00,2015-02-05T19:07:11-05:00,62,0.024,75,0
2/5/15,walking,walking,2015-02-05T20:00:00-05:00,2015-02-05T20:01:56-05:00,116,0.040,127,0
2/5/15,cycling,cycling,2015-02-05T20:06:26-05:00,2015-02-05T20:19:10-05:00,764,2.545,0,0
2/5/15,walking,walking,2015-02-05T20:19:22-05:00,2015-02-05T20:20:39-05:00,77,0.024,66,0
2/5/15,walking,walking,2015-02-05T22:02:44-05:00,2015-02-05T22:03:14-05:00,30,0.016,50,0
2/5/15,transport,transport,2015-02-05T22:05:44-05:00,2015-02-05T22:08:17-05:00,153,0.308,0,0
2/5/15,walking,walking,2015-02-05T22:09:48-05:00,2015-02-05T22:10:43-05:00,55,0.023,75,0
2/6/15,walking,walking,2015-02-06T05:09:41-05:00,2015-02-06T05:18:36-05:00,535,0.489,1049,0
2/6/15,running,running,2015-02-06T05:16:57-05:00,2015-02-06T05:20:22-05:00,205,0.393,425,0
2/6/15,walking,walking,2015-02-06T05:20:22-05:00,2015-02-06T05:21:14-05:00,52,0.016,46,0
2/6/15,walking,walking,2015-02-06T08:51:08-05:00,2015-02-06T08:52:08-05:00,60,0.022,71,0
