Date,Type,Name,Start,End,Duration
2/18/15,place,Place in Gainesville,2015-02-18T19:03:02-05:00,2015-02-18T20:45:30-05:00,6148
2/18/15,move,walking,2015-02-18T20:45:30-05:00,2015-02-18T21:10:50-05:00,1520
2/18/15,place,Place in Gainesville,2015-02-18T21:10:50-05:00,2015-02-18T21:36:23-05:00,1533
2/18/15,move,transport,2015-02-18T21:36:23-05:00,2015-02-18T21:39:34-05:00,191
2/18/15,place,Home,2015-02-18T21:39:34-05:00,2015-02-19T00:00:00-05:00,8426
2/19/15,place,Home,2015-02-19T00:00:00-05:00,2015-02-19T09:22:40-05:00,33760
2/19/15,move,transport,2015-02-19T09:22:40-05:00,2015-02-19T11:03:19-05:00,6039
2/19/15,place,Place in Jacksonville,2015-02-19T11:03:18-05:00,2015-02-19T12:51:32-05:00,6494
2/19/15,move,transport,2015-02-19T12:51:32-05:00,2015-02-19T13:04:25-05:00,773
2/19/15,place,Place in Jacksonville,2015-02-19T13:04:24-05:00,2015-02-19T13:44:12-05:00,2388
2/19/15,move,transport,2015-02-19T13:44:12-05:00,2015-02-19T15:26:09-05:00,6117
2/19/15,place,Home,2015-02-19T15:26:09-05:00,2015-02-19T17:47:13-05:00,8464
2/19/15,move,cycling,2015-02-19T17:47:13-05:00,2015-02-19T17:55:52-05:00,519
2/19/15,place,Place in University of Florida,2015-02-19T17:55:52-05:00,2015-02-19T20:12:16-05:00,8184
2/19/15,move,cycling,2015-02-19T20:12:16-05:00,2015-02-19T20:24:12-05:00,716
2/19/15,place,Place in Gainesville,2015-02-19T20:24:13-05:00,2015-02-19T21:32:24-05:00,4091
2/19/15,move,transport,2015-02-19T21:32:24-05:00,2015-02-19T21:33:37-05:00,73
2/19/15,place,Home,2015-02-19T21:33:36-05:00,2015-02-20T00:00:00-05:00,8784
2/20/15,place,Home,2015-02-20T00:00:00-05:00,2015-02-20T08:31:53-05:00,30713
